Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/05/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,57403,0.97,3697,0,471,4168,
05/05/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,57669,0.97,3677,0,496,4174,
05/05/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,56950,0.97,3699,0,517,4216,
05/05/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,1,56917,0.98,3566,0,538,4105,
05/05/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,5,57062,0.99,3646,3,622,4270,
05/05/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,26,56453,0.97,3737,14,588,4336,
05/05/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,49,54152,0.95,3687,25,580,4290,
05/05/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,494,54209,0.95,4177,226,497,4936,
05/05/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,2726,57801,1.03,5657,1243,414,7506,
05/05/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,8219,65140,1.16,8839,3934,436,13345,
05/05/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,12628,68526,1.23,10138,5621,436,17256,
05/05/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,11051,59665,1.1,8158,4690,220,14573,
05/05/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,4521,38764,0.7,3999,1839,87,6707,
05/05/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,189,11242,0.19,695,88,8,799,
05/05/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1017,0.93,55,0,14,69,
05/05/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1103,0.99,61,0,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Alabama,Week-ending,0,1076,0.99,74,0,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/22/2020,02/22/2020,By week,Alabama,Week-ending,0,1070,0.98,67,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Alabama,Week-ending,0,1137,1.09,62,0,14,76,
05/05/2020,03/07/2020,03/07/2020,By week,Alabama,Week-ending,0,1018,0.98,57,0,12,69,
05/05/2020,03/14/2020,03/14/2020,By week,Alabama,Week-ending,0,1038,0.96,55,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/21/2020,03/21/2020,By week,Alabama,Week-ending,,1011,0.99,69,,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,03/28/2020,03/28/2020,By week,Alabama,Week-ending,13,990,0.97,66,,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/04/2020,04/04/2020,By week,Alabama,Week-ending,38,1060,1.03,64,,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/11/2020,04/11/2020,By week,Alabama,Week-ending,57,975,0.95,73,18,,115,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,04/18/2020,04/18/2020,By week,Alabama,Week-ending,50,844,0.86,69,16,0,103,
05/05/2020,04/25/2020,04/25/2020,By week,Alabama,Week-ending,10,495,0.49,30,,0,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,05/02/2020,05/02/2020,By week,Alabama,Week-ending,,115,0.12,10,0,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,83,0.93,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.23,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,1.01,0,0,0,0,
05/05/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,80,0.99,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,78,0.93,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
